SUP_ID,STA_NM_ANFR,NAT_ID,latitude,longitude,SUP_NM_HAUT,COM_CD_INSEE
442104,0782290252,23,48.65861111111111,1.8419444444444446,54,78517
442104,0782700085,23,48.65861111111111,1.8419444444444446,54,78517
442104,0782750197,23,48.65861111111111,1.8419444444444446,54,78517
442104,0780990009,23,48.65861111111111,1.8419444444444446,54,78517
442104,0780130076,23,48.65861111111111,1.8419444444444446,54,78517
442104,0780464301,23,48.65861111111111,1.8419444444444446,54,78517
442104,0781670001,23,48.65861111111111,1.8419444444444446,54,78517
435922,0782290093,23,48.696666666666665,1.848888888888889,50,78486
435922,0782700074,23,48.696666666666665,1.848888888888889,50,78486
435922,0782750207,23,48.696666666666665,1.848888888888889,50,78486
435922,0780990077,23,48.696666666666665,1.848888888888889,50,78486
437363,0782700274,48,48.941111111111105,1.871388888888889,37,78049
437363,0782750588,48,48.941111111111105,1.871388888888889,37,78049
437363,0780990372,48,48.941111111111105,1.871388888888889,37,78049
434808,0782290412,23,48.98305555555556,1.7575,28,78335
437447,0780220057,23,48.76861111111111,1.783611111111111,52,78289
437447,0782290342,23,48.76861111111111,1.783611111111111,52,78289
437447,0782700159,23,48.76861111111111,1.783611111111111,52,78289
437447,0782750539,23,48.76861111111111,1.783611111111111,52,78289
442411,0780030726,20,48.86666666666667,2.093055555555556,15,78372
457800,0782700054,23,48.73583333333333,1.8383333333333334,30,78108
457800,0782290134,23,48.73583333333333,1.8383333333333334,30,78108
457800,0780990206,23,48.73583333333333,1.8383333333333334,30,78108
457800,0782750991,23,48.73583333333333,1.8383333333333334,30,78108
442524,0782700212,38,49.01361111111111,2.088888888888889,31,78172
442524,0782750201,38,49.01361111111111,2.088888888888889,31,78172
450314,0780220005,4,48.79944444444444,1.7033333333333334,60,78263
450314,0782290034,4,48.79944444444444,1.7033333333333334,60,78263
450314,0782700011,4,48.79944444444444,1.7033333333333334,60,78263
450314,0782750505,4,48.79944444444444,1.7033333333333334,60,78263
450314,0780230022,4,48.79944444444444,1.7033333333333334,60,78263
450314,0780990411,4,48.79944444444444,1.7033333333333334,60,78263
448276,0782750598,26,48.818333333333335,1.903611111111111,25,78442
443355,0782700048,4,48.85444444444445,1.8191666666666666,47,78364
443355,0782290417,4,48.85444444444445,1.8191666666666666,47,78364
443355,0782750838,4,48.85444444444445,1.8191666666666666,47,78364
446132,0782750370,26,48.96666666666667,1.6880555555555556,28,78354
446132,0782290267,26,48.96666666666667,1.6880555555555556,28,78354
446139,0782750675,38,48.99444444444445,1.9141666666666666,"37,7",78440
452024,0780220067,4,49.01694444444444,1.71,56,78239
452029,0782290419,38,48.86527777777778,2.0900000000000003,33,78372
452029,0782700262,38,48.86527777777778,2.0900000000000003,33,78372
452029,0782751172,38,48.86527777777778,2.0900000000000003,33,78372
458122,0782750001,23,48.97277777777778,2.043333333333333,38,78015
458088,0780030731,17,48.62777777777778,1.8286111111111112,10,78517
458152,0780220058,31,49.074444444444445,1.5130555555555556,26,78320
458152,0782700276,31,49.074444444444445,1.5130555555555556,26,78320
458152,0782290325,31,49.074444444444445,1.5130555555555556,26,78320
458152,0782750491,31,49.074444444444445,1.5130555555555556,26,78320
452226,0782750515,4,48.63361111111111,1.9427777777777777,41,78125
452226,0782290085,4,48.63361111111111,1.9427777777777777,41,78125
452226,0782700305,4,48.63361111111111,1.9427777777777777,41,78125
452226,0780990322,4,48.63361111111111,1.9427777777777777,41,78125
468633,0782290280,4,48.641666666666666,2.0055555555555555,"39,9",78120
468633,0782700245,4,48.641666666666666,2.0055555555555555,"39,9",78120
468633,0780990360,4,48.641666666666666,2.0055555555555555,"39,9",78120
468633,0782751100,4,48.641666666666666,2.0055555555555555,"39,9",78120
468658,0782700278,23,48.83777777777778,1.9005555555555556,"27,5",78550
468658,0782290478,23,48.83777777777778,1.9005555555555556,"27,5",78550
468658,0780460319,23,48.83777777777778,1.9005555555555556,"27,5",78550
468658,0782750850,23,48.83777777777778,1.9005555555555556,"27,5",78550
450498,0782290379,38,48.82638888888889,2.125,29,78158
450498,0782700055,38,48.82638888888889,2.125,29,78158
450498,0782750190,38,48.82638888888889,2.125,29,78158
450498,0780031178,38,48.82638888888889,2.125,29,78158
450498,0780990177,38,48.82638888888889,2.125,29,78158
450502,0782290106,26,48.79861111111111,1.5980555555555558,36,78310
450502,0782700038,26,48.79861111111111,1.5980555555555558,36,78310
450502,0782750297,26,48.79861111111111,1.5980555555555558,36,78310
450502,0780220097,26,48.79861111111111,1.5980555555555558,36,78310
465422,0782750636,23,48.66888888888889,1.8686111111111112,40,78655
465422,0782290381,23,48.66888888888889,1.8686111111111112,40,78655
465422,0782700310,23,48.66888888888889,1.8686111111111112,40,78655
465422,0780990119,23,48.66888888888889,1.8686111111111112,40,78655
465422,0782670501,23,48.66888888888889,1.8686111111111112,40,78655
453351,0782290301,23,48.904444444444444,1.8497222222222223,40,78380
453351,0782700059,23,48.904444444444444,1.8497222222222223,40,78380
453351,0782750123,23,48.904444444444444,1.8497222222222223,40,78380
453351,0780990002,23,48.904444444444444,1.8497222222222223,40,78380
451343,0782700062,31,49.0025,1.8977777777777778,42,78299
451343,0782750245,31,49.0025,1.8977777777777778,42,78299
